TextID,URL,Label,totalWordsCount,semanticobjscore,semanticsubjscore,CC,CD,DT,EX,FW,INs,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TOs,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,baseform,Quotes,questionmarks,exclamationmarks,fullstops,commas,semicolon,colon,ellipsis,pronouns1st,pronouns2nd,pronouns3rd,compsupadjadv,past,imperative,present3rd,present1st2nd,sentence1st,sentencelast,txtcomplexity,site
Text0405,http://msn.foxsports.com/foxsoccer/world/story/fifa-calls-off-event-sends-sympathy-to-brazil-nightclub-fire-victims-012713,0,392,18,1,9,41,1,16,48,22,2,1,0,1,105,7,0,25,0,0,3,4,8,0,0,1,2,9,0,1,20,9,12,3,7,2,2,0,0,0,12,6,0,0,16,14,0,0,0,0,0,3,3,20,1,7,3,1,1,21,msn.foxsports.com
Text0406,http://www.foxsportsarizona.com/01/15/13/Henderson-to-defend-title-vs-Melendez/landing.html?amp%3BfeedID=3698&blockID=849913,0,333,27,4,10,27,1,11,38,24,0,4,0,10,79,1,0,9,0,0,10,6,10,0,0,1,0,14,0,0,2,6,4,8,6,1,2,0,2,0,6,2,0,0,15,12,0,0,0,3,0,6,4,2,0,6,8,1,1,25,www.foxsportsarizona.com
Text0407,http://www.dailystar.co.uk/posts/view/295220/Sir-Alex-Ferguson-blasts-idiot-Gary-Neville-,0,230,12,2,3,22,1,5,22,6,1,0,0,3,50,0,0,4,0,2,17,2,5,0,0,0,1,6,0,1,16,1,8,3,9,0,3,0,1,0,6,4,0,0,14,6,0,4,0,4,1,7,1,16,1,9,3,1,1,28,www.dailystar.co.uk
Text0408,http://msn.foxsports.com/wnba/story/Lauren-Jackson-stays-on-sidelines-for-WNBL-team-50638484,0,115,5,4,0,9,0,2,14,5,0,0,0,0,42,2,0,5,0,0,1,2,2,0,0,1,0,5,0,1,5,4,2,0,2,0,1,0,1,0,0,1,0,0,4,5,0,1,0,0,0,3,0,5,1,2,0,1,1,19,msn.foxsports.com
Text0409,http://www.foxsportssouth.com/01/24/13/Hamlin-talks-hoops-Daytona-fatherhood/landing_hawks.html?blockID=854227&feedID=3796,0,1200,61,17,26,109,0,23,114,66,2,3,0,7,251,0,0,54,1,9,64,21,39,2,0,9,0,35,0,3,54,28,19,24,39,6,7,0,10,0,36,0,1,0,49,52,0,3,0,18,3,49,7,54,3,39,24,1,1,37,www.foxsportssouth.com
Text0410,http://www.football365.com/news/21554/8440664/Coutinho,0,237,9,1,6,18,0,0,30,14,0,0,0,2,71,1,0,11,0,0,6,2,5,0,0,0,0,12,0,0,10,5,10,5,5,0,1,0,1,0,4,2,0,0,12,5,0,1,0,0,0,5,0,10,0,5,5,1,1,16,www.football365.com
Text0411,http://www.foxsportswest.com/02/21/13/Kobe-says-Lakers-will-make-the-playoffs/msn_landing.html?blockID=867837&feedID=3707,0,545,28,5,14,48,0,11,38,21,1,2,0,7,88,3,0,19,1,1,43,7,31,0,0,3,0,14,0,3,21,15,8,24,15,0,4,0,3,0,21,1,0,0,31,28,0,1,0,19,2,18,3,21,3,15,24,1,1,18,www.foxsportswest.com
Text0412,http://uk.eurosport.yahoo.com/news/golf-mahan-puts-blinkers-match-play-defence-014941932.html,0,353,28,5,16,26,0,4,40,26,1,4,0,3,98,5,0,13,0,0,10,7,11,0,0,1,4,6,0,2,19,9,3,1,5,3,5,0,1,0,8,9,0,0,17,11,0,1,0,2,2,13,5,19,2,5,1,1,1,18,uk.eurosport.yahoo.com
Text0413,http://msn.foxsports.com/ice_skating/story/figure-skating-championships-ashley-wagner-wins-gold-012613,0,1001,76,15,26,96,1,23,101,76,3,6,0,4,200,7,0,39,1,0,43,15,57,1,0,6,9,29,0,1,69,22,15,7,22,3,3,0,2,0,32,17,0,0,58,42,0,0,0,7,0,42,10,69,1,22,7,1,1,16,msn.foxsports.com
Text0414,http://www.dailystar.co.uk/motorsports/view/297182/Jenson-Button-up-and-pumping/,0,457,22,7,6,54,3,8,53,32,2,1,0,10,88,1,0,12,0,0,25,3,23,0,0,2,0,8,0,0,20,7,4,9,14,1,4,0,6,0,13,2,1,0,19,15,0,1,0,9,1,8,3,20,0,14,9,1,1,41,www.dailystar.co.uk
Text0415,http://www.football365.com/news/21554/8446423/bid-for-Ince,0,126,5,1,0,13,0,0,16,6,0,0,0,1,40,1,0,6,0,0,1,2,6,0,0,0,0,3,0,0,3,2,9,5,2,0,2,0,0,0,1,2,0,0,7,3,0,1,0,0,0,2,0,3,0,2,5,1,1,14,www.football365.com
Text0416,http://msn.foxsports.com/nascar/story/clint-bowyer-making-rolex-24-debut-on-michael-waltrip-team-012213,0,565,16,12,8,45,2,24,59,21,0,1,0,5,107,1,0,20,0,0,45,9,28,3,0,2,0,25,0,7,17,15,7,11,26,0,6,0,5,0,16,0,0,0,36,28,0,1,0,6,7,31,4,17,7,26,11,1,1,15,msn.foxsports.com
Text0417,http://www.sportinglife.com/football/news/article/2/8512937/no-fun-at-fulham-goals-at-arsenal,0,1376,106,29,67,150,5,18,188,100,4,1,0,27,252,5,0,78,0,0,31,19,79,3,0,8,0,40,0,9,14,25,39,35,25,6,0,0,1,0,47,0,1,0,46,16,0,6,0,9,5,30,8,14,9,25,35,1,1,28,www.sportinglife.com
Text0418,http://msn.foxsports.com/nfl/story/tampa-bay-buccaneers-daquan-bowers-arrested-at-airport-gun-charge-021813,0,162,6,2,4,14,0,2,21,7,0,0,0,0,51,1,0,12,1,0,5,5,1,0,0,0,0,3,0,1,11,2,8,4,2,0,0,0,0,0,2,0,0,1,11,2,0,0,0,2,1,6,0,11,1,2,4,1,1,11,msn.foxsports.com
Text0419,http://www.wnba.com/news/nba-allstar-2012.html,0,209,14,3,1,16,0,8,18,18,0,2,0,1,70,2,0,11,1,0,4,3,2,0,0,2,2,6,0,1,8,3,2,1,3,0,0,0,0,0,10,2,0,0,7,7,0,1,0,1,0,5,2,8,1,3,1,1,1,23,www.wnba.com
Text0420,http://msn.foxsports.com/foxsoccer/championsleague/story/chelsea-6-1-nordsjaelland-match-report-defending-champs-make-history-with-exit-120512,0,599,42,6,10,65,1,10,88,44,0,0,0,2,159,2,0,32,0,0,3,11,24,0,0,3,2,12,0,1,51,12,12,1,4,1,2,0,2,0,17,0,0,0,24,19,0,0,0,0,0,12,0,51,1,4,1,1,1,23,msn.foxsports.com
