,Label,totalWordsCount,JJS,NN,NNS,PDT,RB,RBR,RP,TOs,WP,questionmarks,exclamationmarks,semicolon,colon,ellipsis,pronouns1st,pronouns2nd,sentence1st,sentencelast,txtcomplexity,site
0,objective,392,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,21,msn.foxsports.com
1,objective,333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,25,www.foxsportsarizona.com
2,objective,230,0,0,0,2,0,0,1,0,0,0,0,0,4,0,4,1,1,1,28,www.dailystar.co.uk
3,objective,115,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,msn.foxsports.com
4,objective,1200,0,0,1,9,2,0,0,0,0,1,0,0,3,0,18,3,1,1,37,www.foxsportssouth.com
5,objective,237,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,16,www.football365.com
6,objective,545,0,3,1,1,0,0,0,0,0,0,0,0,1,0,19,2,1,1,18,www.foxsportswest.com
7,objective,353,0,5,0,0,0,0,4,0,0,0,0,0,1,0,2,2,1,1,18,uk.eurosport.yahoo.com
8,objective,1001,0,7,1,0,1,0,9,0,0,0,0,0,0,0,7,0,1,1,16,msn.foxsports.com
9,objective,457,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9,1,1,1,41,www.dailystar.co.uk
10,objective,126,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14,www.football365.com
11,objective,565,0,1,0,0,3,0,0,0,0,0,0,0,1,0,6,7,1,1,15,msn.foxsports.com
12,objective,1376,0,5,0,0,3,0,0,0,0,1,0,0,6,0,9,5,1,1,28,www.sportinglife.com
13,objective,162,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,11,msn.foxsports.com
14,objective,209,0,2,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,23,www.wnba.com
15,objective,599,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,23,msn.foxsports.com
16,objective,109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15,www.talksport.co.uk
17,objective,350,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,www.foxsportswisconsin.com
18,objective,241,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,13,edition.cnn.com
19,objective,667,0,4,0,0,0,0,10,0,0,0,0,0,3,0,0,1,1,1,15,msn.foxsports.com
20,objective,233,0,0,0,1,1,0,0,0,0,0,0,0,4,0,6,2,1,1,29,www.dailystar.co.uk
21,objective,436,0,12,0,0,0,0,3,0,0,0,0,0,12,0,1,0,1,1,33,www.bbc.co.uk
22,objective,510,0,3,0,9,0,1,0,0,0,0,0,0,1,0,4,0,1,1,30,www.wnba.com
23,objective,207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,29,www.talksport.co.uk
24,objective,162,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,16,msn.foxsports.com
25,objective,380,0,2,0,0,1,0,1,0,0,0,0,0,1,0,9,0,1,1,18,www.guardian.co.uk
26,objective,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,30,www.football365.com
27,objective,825,0,4,1,0,1,2,7,0,0,0,0,0,2,0,1,6,1,1,15,sportsillustrated.cnn.com
28,objective,223,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,msn.foxsports.com
29,objective,735,0,3,0,0,2,1,3,0,0,0,0,0,1,0,0,0,1,1,16,msn.foxsports.com
